k,mean_overlap,std_overlap,mean_dist_divergence,std_dist_divergence,mean_barycenter_shift,std_barycenter_shift,lid_exact,lid_ann,mean_lid_diff,std_lid_diff
75,0.9637197333333333,0.05095040782177923,0.0012253406341187656,0.0020926438621245323,0.0016482314094901085,0.0015074658673256635,8.646783065795898,8.416770648956298,-0.2300126612186432,0.6867353856563568
80,0.9586119999999999,0.05324560007170247,0.001444866042584181,0.002273616916500032,0.001836798491422087,0.0015254364348948,8.649195098876953,8.385568809509277,-0.2636262774467468,0.6908382892608642
85,0.9531509411764707,0.05560911838740838,0.0016964158043265344,0.0025022491812705995,0.002022327156737447,0.0015451215906068683,8.653569793701172,8.356327342987061,-0.2972423076629639,0.6965435802936554
90,0.9474426666666668,0.05795111088517182,0.0019812652142718436,0.002782369777560234,0.0021977882599458097,0.001565510721411556,8.661072254180908,8.325881862640381,-0.33519052863121035,0.7060806453227997
95,0.9414536842105263,0.06032218664037261,0.0023010984994471075,0.0031260741408914326,0.00236253144685179,0.0015867314301431178,8.669746112823486,8.296596717834472,-0.3731494426727295,0.7166375279426574
100,0.9352551,0.06264885151378205,0.0026555442018434405,0.003541508410125971,0.002521836827509105,0.001621902221813798,8.681583023071289,8.264997386932373,-0.4165856152772903,0.7340571880340576
105,0.9288936190476191,0.0649354984628644,0.0030450960621237755,0.004030864709056914,0.0026682009920477867,0.0016602335032075643,8.693625926971436,8.233859729766845,-0.45976613461971283,0.7521210432052612
110,0.9223593636363636,0.06717303835875017,0.0034714601701125503,0.0046044069342315195,0.0028094495879486202,0.0017067317850887776,8.707265186309815,8.202099227905274,-0.5051658570766449,0.7675965607166291
115,0.9157124347826088,0.06932959820078727,0.0038961482544740043,0.004828638655857908,0.0029436184791848063,0.0017636038712225855,8.722015762329102,8.169217967987061,-0.552797257900238,0.7902577161788941
120,0.9089918333333333,0.07139520131257111,0.0043927460598448915,0.005474364850670099,0.003073718142695725,0.0018313929438591003,8.73687219619751,8.134445190429688,-0.6024270117282867,0.8147464454174042
125,0.9021705600000001,0.07343404893982163,0.004932016962104374,0.0062491742169691455,0.00319722315762192,0.0019042946747504174,8.753027820587159,8.1000545501709,-0.6529727339744568,0.8409941375255585
130,0.8953296923076923,0.07533643218285317,0.005518675160904725,0.007215309267242749,0.0033176433062180877,0.001988243474625051,8.769386100769044,8.064334726333618,-0.7050511479377747,0.8690690279006958
135,0.8885078518518519,0.07712790148082252,0.0060828435234725475,0.007887822708913259,0.0034377556527033447,0.0020759369945153594,8.784913158416748,8.027417516708374,-0.7574953377246857,0.8940913856029511
140,0.8816286428571429,0.07885589781425575,0.006721916235983371,0.009134065825492144,0.003558280598372221,0.0021681764861568808,8.801806640625,7.988772201538086,-0.8130344212055206,0.9208604156970978
145,0.8747244827586208,0.08051757706986061,0.00723345298320055,0.00865421467460692,0.0036750927101820707,0.00226758390199393,8.818500518798828,7.948184204101563,-0.8703163504600525,0.9518747448921203
150,0.8678338666666667,0.08205217271017126,0.007386866025626659,0.007138222921639681,0.0037911686347797515,0.002369231800548732,8.835142421722413,7.906707525253296,-0.9284344017505646,0.9854955196380615
155,0.8609352903225806,0.08353875462492148,0.008086270652711391,0.008024615235626698,0.003906571818515658,0.002474870206788182,8.851854991912841,7.864916801452637,-0.9869384944438935,1.0176774859428406
160,0.8540755000000001,0.0849322716930055,0.00882578082382679,0.009023397229611874,0.004024693858809769,0.002591218170709908,8.8692138671875,7.822115182876587,-1.0470986485481262,1.0480983257293701
165,0.8472654545454545,0.08620970362858985,0.00960715301334858,0.010172126814723015,0.004142563976347447,0.0027101299725472926,8.885894203186036,7.777900123596192,-1.1079943776130676,1.0821520209312439
170,0.8405298235294119,0.08740624908007362,,,0.004262111149728298,0.0028383137425407766,8.90271224975586,7.732621812820435,-1.1700902700424194,1.1162189483642577
175,0.8338603428571428,0.08854590504452073,,,0.004380354937165975,0.0029763086000457405,8.919597625732422,7.686791896820068,-1.2328053832054138,1.1493395924568177
180,0.8272227222222222,0.08959709973373002,,,0.004500713991001248,0.0031181794591248037,8.9353497505188,7.640063714981079,-1.2952857851982116,1.1811809301376344
185,0.8206371891891893,0.09058284713437945,,,0.004623703379184008,0.0032685651211068036,8.951776218414306,7.592582702636719,-1.3591934204101563,1.2133075714111328
190,0.8141076842105264,0.09151730307338492,,,0.004748139763250947,0.0034211484249681233,8.968526363372803,7.54383807182312,-1.424688184261322,1.249607253074646
195,0.8076344102564104,0.09237565070974497,,,0.0048717618919909,0.0035784399369731545,8.984518337249757,7.4942066192626955,-1.490311598777771,1.2859172821044922
200,0.80126265,0.09318132176953176,,,0.00499718957580626,0.0037372564198449253,9.001008701324462,7.44388976097107,-1.5571187734603882,1.3224672555923462
205,0.7949386341463416,0.09393951753891995,,,0.005124943889677524,0.003901153802871704,9.016799068450927,7.392032337188721,-1.6247667789459228,1.3591148853302002
210,0.7886811904761906,0.09462560653950733,,,0.005255539854988456,0.0040679799625650045,9.032609272003175,7.339889144897461,-1.6927200317382813,1.3968696117401123
215,0.7824755813953488,0.09527761151833196,,,0.00538597940467298,0.004235034342855215,9.04772367477417,7.2867751121521,-1.7609483480453492,1.4330793738365173
220,0.7763572272727273,0.09586252628874475,,,0.005519237276166678,0.0044060765998438,9.062894439697265,7.232918453216553,-1.8299763202667236,1.469226312637329
225,0.7702918222222223,0.09638103491708416,,,0.005652068415656686,0.004575222544372082,9.077942276000977,7.177878332138062,-1.9000641345977782,1.5077481031417848
230,0.764316304347826,0.09689845724077414,,,0.005784589610993862,0.004744601668789983,9.093195152282714,7.120756673812866,-1.9724382519721986,1.5480638861656189
235,0.758417829787234,0.09737137737499556,,,0.005918730609118938,0.00491569465957582,9.107851314544678,7.0626908302307125,-2.0451604604721068,1.587518286705017
240,0.7525918333333333,0.09778259060995456,,,0.00605344376526773,0.005087437713518739,9.12209243774414,7.003269529342651,-2.118822979927063,1.6288300037384034
245,0.7468433877551021,0.09818097289395095,,,0.006188603863120079,0.0052570258267223835,9.136003112792968,6.942227745056153,-2.1937750339508058,1.671629250049591
250,0.7411824,0.0985227244453653,,,0.006325919833034277,0.005428459821268916,9.149837684631347,6.87952733039856,-2.2703104972839356,1.7173511505126953
255,0.7355978039215686,0.09884800297822248,,,0.006461916118860244,0.005597349209710956,9.163846492767334,6.815866756439209,-2.3479796648025513,1.762173843383789
260,0.7300881923076923,0.09913655934998558,,,0.006599763873964548,0.005764496838673949,9.177941513061523,6.750233936309814,-2.4277077674865724,1.8082437992095948
265,0.7246550943396226,0.09938542056173134,,,0.006737195095047355,0.005933423619717359,9.191149520874024,6.6830719947814945,-2.5080778121948244,1.8533788442611694
270,0.7192852962962963,0.09961379429303999,,,0.006876509124413133,0.006100366031751037,9.204425144195557,6.613824319839478,-2.590601086616516,1.9008272171020508
275,0.7140014545454545,0.09979712511159942,,,0.007014394737780094,0.006265165470540524,9.217589569091796,6.545107841491699,-2.672481918334961,1.9478799462318421
280,0.7087876785714287,0.0999850332821397,,,0.0071552144829183815,0.0064305741339921955,9.230599975585937,6.473064851760864,-2.7575354099273683,1.9961236834526062
285,0.7036368421052632,0.10013094245419518,,,0.007297290209680796,0.006594380596652627,9.243743991851806,6.398812961578369,-2.8449312448501587,2.0462429523468018
290,0.6985737586206897,0.10024241920404568,,,0.007439828058704734,0.006756274728104472,9.256165504455566,6.323067951202392,-2.9330978870391844,2.0965733528137207
295,0.6935656271186441,0.1003362222465743,,,0.007584694446995855,0.006915806420147419,9.268722820281983,6.245760679244995,-3.022962045669556,2.146482300758362
300,0.6886432666666666,0.1004016705976166,,,0.007730471529066562,0.007074407814070582,9.281038188934327,6.166961669921875,-3.114076352119446,2.1960588693618774
305,0.6837680655737705,0.10046030374447368,,,0.007879010867327452,0.0072332242038100954,9.29320249557495,6.085768938064575,-3.2074336051940917,2.248250389099121
310,0.6789580322580645,0.10050431197917223,,,0.008029653085395693,0.007391549227759242,9.304724407196044,6.00286831855774,-3.301856255531311,2.298947238922119
315,0.6741957777777777,0.10051729932116497,,,0.008182709570974112,0.007549939816817642,9.316549015045165,5.919065999984741,-3.3974828004837034,2.348229455947876
320,0.6695110625,0.10052047300503404,,,0.00833908561617136,0.007707603694871068,9.32781343460083,5.832810115814209,-3.495003342628479,2.399181938171387
325,0.6649061538461538,0.10049748193946158,,,0.008497824799269438,0.00786533267237246,9.339008140563966,5.7439779281616214,-3.595030403137207,2.44957811832428
330,0.6603718787878788,0.10048798250653498,,,0.008660134952515363,0.00802311860024929,9.350131511688232,5.654241466522217,-3.6958904027938844,2.499876284599304
335,0.6558880895522388,0.10046498971964127,,,0.008825509622693063,0.008182144816964864,9.360723400115967,5.5624391555786135,-3.7982839584350585,2.548236536979675
340,0.6514679411764706,0.1004161781863601,,,0.008995321393013001,0.0083422239869833,9.371003150939941,5.469410610198975,-3.9015923500061036,2.5974451541900634
345,0.6471057971014492,0.10034466830003534,,,0.009169665817171335,0.008504095720127225,9.381896877288819,5.373721694946289,-4.008175301551819,2.644614911079407
350,0.6427984571428571,0.10026227274080009,,,0.009348995983600616,0.008667647140100598,9.391837120056152,5.276597595214843,-4.115239524841309,2.6901361465454103
355,0.6385712112676056,0.10018459287722185,,,0.009532460756599904,0.008832991728559137,9.401633739471436,5.1789116859436035,-4.222722291946411,2.7356908321380615
360,0.6343821666666667,0.1000759870893048,,,0.009721275325864554,0.00899959085509181,9.411526107788086,5.078989028930664,-4.332537078857422,2.7811139106750487
365,0.6302452328767123,0.09997185544170965,,,0.009915377665311097,0.009169914573431016,9.421553134918213,4.975367832183838,-4.446185159683227,2.8272976636886598
370,0.6261735135135135,0.09985310544176211,,,0.010115251783281565,0.009342650789767504,9.431169795989991,4.871270990371704,-4.559898948669433,2.8717220544815065
375,0.6221480266666667,0.09972708399841831,,,0.010321823321282864,0.009517729375511408,9.44058837890625,4.766427803039551,-4.674160671234131,2.9155569314956664
380,0.618179552631579,0.09959565233014314,,,0.010534515138715506,0.009695045836269855,9.449881458282471,4.6606958389282225,-4.789185428619385,2.955998086929321
385,0.6142682857142857,0.0994628016033525,,,0.010753212682902812,0.00987452445551753,9.459117889404297,4.552580404281616,-4.906537628173828,2.997889256477356
390,0.610396564102564,0.09931396210597411,,,0.010979120153933764,0.010057208593934774,9.467973518371583,4.445603132247925,-5.022370529174805,3.0391920804977417
395,0.6065738481012658,0.09915621703006064,,,0.011211154982447624,0.010242024064064026,9.47672758102417,4.336367607116699,-5.140359878540039,3.0817761182785035
400,0.6027950000000001,0.09900477040636664,,,0.011450643744319677,0.010429133661091328,9.485717487335204,4.22648777961731,-5.259229898452759,3.123232364654541
405,0.5990910617283951,0.09882260880648314,,,0.011697034072130918,0.01061854986473918,9.494389915466309,4.1164182186126705,-5.377971553802491,3.164846134185791
410,0.5954015121951219,0.0986455165960197,,,0.011951049696654082,0.010809292923659087,9.502854919433593,4.0077293634414675,-5.495125484466553,3.2041280269622803
415,0.5917693493975904,0.098463778133456,,,0.012211692053824663,0.011001458577811717,9.510999774932861,3.8979676008224486,-5.613032007217408,3.2426465272903444
420,0.5881879999999999,0.09829105167735865,,,0.012479605339467525,0.01119479713961482,9.519261646270753,3.7881688356399534,-5.731092834472657,3.2798619270324707
425,0.5846532705882354,0.09808795235368903,,,0.012754834350198507,0.011388317961245776,9.527276420593262,3.680580997467041,-5.846695232391357,3.315360760688782
430,0.5811495348837209,0.09789382241497428,,,0.013037059176713228,0.011582792829722166,9.53516960144043,3.574078917503357,-5.96109094619751,3.3496484041213987
435,0.5776898850574713,0.09769658040411501,,,0.01332610473036766,0.011777420528233051,9.542696475982666,3.4662967681884767,-6.076400279998779,3.384756875038147
440,0.5742645454545454,0.09750301077895848,,,0.013621623627841473,0.011971218511462212,9.550478076934814,3.359655666351318,-6.190822315216065,3.416955518722534
445,0.5708996629213483,0.0973070670165637,,,0.013923684787005185,0.012164682149887085,9.558202171325684,3.2534997701644897,-6.304702711105347,3.4521401643753054
450,0.5675346444444445,0.09709581817030923,,,0.014232450816780328,0.0123567764647305,9.565510463714599,3.1480820178985596,-6.417428302764892,3.484689474105835
455,0.5642211428571429,0.0968838808993285,,,0.014546269085258245,0.012547360174357891,9.572765159606934,3.0447161197662354,-6.52804913520813,3.5161972761154177
460,0.5609660869565217,0.09666572936656155,,,0.014865868631750346,0.012736259400844574,9.5796950340271,2.942527985572815,-6.637167072296142,3.545499157905579
465,0.5577461505376344,0.09645142783736708,,,0.015190974436700344,0.012922751624137164,9.586446475982665,2.8410992860794066,-6.745347404479981,3.5766017913818358
470,0.5545458510638298,0.0962339559605134,,,0.01552202319726348,0.013106443919241428,9.593129920959473,2.742897391319275,-6.850232410430908,3.604687309265137
475,0.5513940631578949,0.096008502394468,,,0.01585728693753481,0.013287847395986319,9.599833965301514,2.6436777114868164,-6.956156206130982,3.6364722728729246
480,0.548276125,0.09579104980578484,,,0.01619765628129244,0.013465500343590975,9.606274223327636,2.547614312171936,-7.0586601257324215,3.6672030448913575
485,0.5451989278350515,0.09556374117508999,,,0.01654280461370945,0.013640153221786022,9.61270866394043,2.4545856952667235,-7.158122968673706,3.6971198320388794
490,0.5421524693877551,0.09533012802564612,,,0.01689232112839818,0.013811024278402329,9.619090366363526,2.3618266582489014,-7.257263565063477,3.7296163558959963
495,0.5391399797979798,0.09509455477614642,,,0.017245673295110463,0.013977831415832042,9.625283241271973,2.272460913658142,-7.352822351455688,3.7583951234817503
500,0.53616452,0.09485991627115162,,,0.017602991312742233,0.014140671957284212,9.631240844726562,2.1822176218032836,-7.449023246765137,3.789451503753662
